nIdPessoa;pediu_para_sair;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
181076;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
201073;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
280267;1;0.0;0.0;0.0;0.0;0.0;0.0;14.0;60.69;920.3;0.0;0.0;0.0;3.0;499.48113074709;0.1115999999999999
14686;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;119.302129850741;0.06345
71442;0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;33.910000000000004;595.53;3.0;1056.0;0.0;6.0;315.951223376499;0.0364666666666666
250069;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.12;23.33;1.0;522.0;0.0;1.0;32.561026742143;0.0246
351488;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
255952;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
147702;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;816.0;0.0;2.0;104.439037847031;0.05165
167011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.316754843151;0.0169
300222;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;216.0;0.0;1.0;92.531735051644;0.0553
402149;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58647;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1859.0;0.0;2.0;112.955421383466;0.0518
301544;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;702.570717822829;0.11795
370001;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.4;5.6;10.0;506.0;0.0;1.0;49.072868217054;0.032
78403;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;83.262222222222;0.08
89472;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;232.0;0.0;0.0;0.0;0.0
216756;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31622;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
222971;1;0.0;0.0;0.0;0.0;0.0;0.0;22.0;197.98;2205.13;52.0;15832.0;0.0;5.0;285.295694182808;0.04562
204188;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97717;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;510.0;0.0;5.0;328.6230321837781;0.05626
237259;0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;58.64;841.85;13.0;4275.0;0.0;1.0;66.846926601126;0.0477
245265;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
136009;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
244575;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
238712;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
327938;1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;9.26;156.93;3.0;580.0;0.0;1.0;164.58324890361;0.1173
267389;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.88;23.25;14.0;2415.0;0.0;3.0;105.54705116955752;0.0273333333333333
201949;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;12.47;126.81;3.0;692.0;0.0;1.0;47.779753775128;0.0397
358858;0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;6.17;91.9;0.0;0.0;0.0;1.0;112.20047905317;0.0646
254132;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251306;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50262;1;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;579.0;0.0;4.0;165.507450832029;0.034325
385083;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.33;159.79;0.0;0.0;0.0;2.0;186.96807792962;0.05275
149163;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.1500000000001;0.0021
107076;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;86.472511542013;0.083
87635;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.38;26.46;0.0;0.0;0.0;0.0;0.0;0.0
182656;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127521;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;735.0;0.0;5.0;210.099373635003;0.03744
148754;1;0.0;0.0;0.0;1.0;0.0;0.0;46.0;198.53;2525.99;42.0;10446.0;0.0;10.0;875.6998091297991;0.06915
11743;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;88.1715925962585;0.05015
194330;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
352445;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
164028;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;1.0;54.356374369228;0.0503
193047;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;5092.0;0.0;6.0;649.634113562469;0.0746166666666666
223396;1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;21.79;247.97;3.0;1266.0;0.0;1.0;63.869357571143;0.0507
200280;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172783;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168628;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;8.8;87.32;4.0;2310.0;0.0;2.0;93.575440625861;0.0407
157169;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;822.0;0.0;1.0;15.002368498964;0.0133
53529;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
214227;1;0.0;0.0;0.0;0.0;0.0;0.0;13.0;26.21;421.73;3.0;1074.0;0.0;1.0;42.397877963467;0.0292
262057;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1014.0;0.0;0.0;0.0;0.0
367487;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94536;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;81.447136150235;0.065
343377;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129170;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1034.0;0.0;1.0;0.0;0.0
326014;0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;19.62;273.23;16.0;7218.0;0.0;2.0;271.707401798397;0.0866
222416;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28772;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;96.0;0.0;0.0;0.0;0.0
186841;0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;44.68;567.46;8.0;1801.0;0.0;5.0;310.48188966226303;0.04528
339179;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.8;133.05;2.0;805.0;0.0;1.0;91.088063122299;0.0646
391399;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
236912;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;56.0;0.0;1.0;30.088301776303;0.0246
73963;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;3.0;194.0264436668252;0.0415333333333333
389222;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2102;1;0.0;0.0;304480.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;851.0;0.0;7.0;495.16972481873296;0.0510142857142857
148545;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0;32428.0;0.0;5.0;373.129336612283;0.05898
266061;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
359468;1;0.0;0.0;0.0;0.0;0.0;0.0;11.0;75.78999999999999;1042.51;16.0;6571.0;0.0;1.0;62.569946065684;0.0383
373369;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
158541;1;0.0;0.0;0.0;0.0;0.0;0.0;12.0;36.18000000000001;424.8;4.0;863.0;0.0;7.0;367.401273759033;0.0398571428571428
251810;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3057;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;97.681481481482;0.08
397517;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161875;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.0;33396.0;0.0;2.0;88.172248976873;0.03535
364507;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99022;1;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;12.0;279.0;0.0;3.0;81.60116797971479;0.0244999999999999
181129;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
319688;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;290.0;0.0;0.0;0.0;0.0
336183;1;0.0;0.0;0.0;0.0;0.0;0.0;18.0;84.69;1352.39;34.0;7917.0;0.0;4.0;645.575732698346;0.089175
248602;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
263725;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63660;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
387289;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118858;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
383174;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.32;190.06;3.0;91.0;0.0;0.0;0.0;0.0
159888;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.687036636873;0.0181
154806;0;0.0;0.0;0.0;1.0;1.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;23.156469428008;0.014
74123;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.18;1.99;4.0;2180.0;0.0;5.0;242.3531243880852;0.03886
310816;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;675.402018909826;0.1550333333333333
324772;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;9.22;162.93;1.0;559.0;0.0;0.0;0.0;0.0
66089;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181283;0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;78.52;1284.12;24.0;10067.0;0.0;3.0;164.15149786286;0.0377333333333333
168858;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96875;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1579.0;0.0;2.0;205.382730503269;0.0747
166412;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
206104;1;0.0;0.0;0.0;0.0;0.0;0.0;15.0;28.43;406.62;9.0;3249.0;0.0;1.0;58.029236495514;0.0478
158073;1;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.52;5.51;1.0;336.0;0.0;5.0;374.063444757736;0.05898
218285;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0;2.0;53.597761866158;0.01945
127989;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;101.315453469779;0.0372
303452;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
403416;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8486;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;648.0;0.0;5.0;292.2581079797892;0.04048
263783;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19520;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;75.038518518519;0.08
205604;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
175282;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;80.923855704961;0.0338
